iter	Passed	Remaining
0	18	18701
1	28	14084
2	37	12516
3	48	11957
4	58	11595
5	67	11100
6	75	10768
7	87	10792
8	95	10522
9	104	10319
10	113	10244
11	122	10075
12	131	9987
13	141	9955
14	149	9820
15	157	9687
16	168	9737
17	177	9694
18	189	9792
19	198	9709
20	207	9653
21	216	9634
22	225	9574
23	235	9558
24	242	9468
25	250	9377
26	262	9466
27	278	9668
28	287	9631
29	298	9666
30	307	9619
31	318	9631
32	329	9646
33	338	9623
34	348	9611
35	357	9561
36	367	9559
37	375	9498
38	385	9490
39	395	9483
40	405	9483
41	412	9411
42	422	9392
43	429	9332
44	439	9319
45	450	9337
46	459	9321
47	470	9329
48	481	9336
49	493	9382
50	504	9381
51	513	9369
52	523	9359
53	531	9314
54	541	9305
55	553	9323
56	561	9295
57	569	9252
58	576	9193
59	588	9225
60	601	9261
61	614	9291
62	623	9276
63	631	9241
64	644	9267
65	652	9234
66	663	9236
67	673	9235
68	684	9232
69	692	9206
70	700	9160
71	712	9183
72	721	9159
73	729	9124
74	737	9099
75	746	9081
76	757	9077
77	768	9081
78	777	9062
79	788	9063
80	795	9025
81	804	9006
82	815	9004
83	825	9004
84	834	8987
85	843	8964
86	852	8948
87	861	8929
88	871	8915
89	881	8909
90	889	8880
91	898	8869
92	910	8877
93	918	8851
94	926	8822
95	937	8825
96	945	8804
97	955	8792
98	965	8784
99	974	8766
100	984	8765
101	993	8746
102	1004	8747
103	1013	8735
104	1024	8731
105	1032	8709
106	1041	8692
107	1050	8678
108	1059	8657
109	1066	8630
110	1075	8610
111	1084	8597
112	1097	8611
113	1108	8613
114	1120	8620
115	1131	8626
116	1142	8620
117	1153	8618
118	1166	8638
119	1178	8639
120	1190	8646
121	1200	8642
122	1210	8630
123	1219	8618
124	1227	8593
125	1237	8586
126	1247	8573
127	1256	8560
128	1266	8548
129	1275	8536
130	1284	8520
131	1293	8508
132	1301	8484
133	1309	8462
134	1321	8469
135	1329	8444
136	1336	8415
137	1346	8409
138	1355	8399
139	1365	8386
140	1377	8389
141	1387	8385
142	1395	8361
143	1405	8353
144	1412	8326
145	1420	8311
146	1428	8290
147	1436	8267
148	1445	8257
149	1454	8243
150	1464	8235
151	1475	8232
152	1484	8216
153	1491	8195
154	1502	8192
155	1511	8179
156	1521	8168
157	1533	8171
158	1541	8155
159	1550	8140
160	1560	8131
161	1571	8129
162	1581	8119
163	1590	8110
164	1603	8117
165	1613	8108
166	1627	8118
167	1637	8111
168	1647	8100
169	1657	8092
170	1666	8080
171	1676	8070
172	1685	8058
173	1695	8046
174	1707	8050
175	1716	8036
176	1724	8020
177	1735	8013
178	1743	7996
179	1753	7986
180	1766	7991
181	1774	7974
182	1784	7965
183	1792	7949
184	1801	7937
185	1810	7922
186	1817	7901
187	1826	7889
188	1835	7877
189	1846	7870
190	1854	7852
191	1864	7844
192	1873	7833
193	1880	7812
194	1887	7791
195	1899	7790
196	1906	7771
197	1917	7767
198	1924	7746
199	1933	7734
200	1943	7725
201	1956	7730
202	1964	7714
203	1972	7696
204	1979	7678
205	1989	7667
206	1999	7660
207	2008	7647
208	2019	7642
209	2028	7629
210	2040	7628
211	2051	7623
212	2060	7613
213	2071	7607
214	2078	7590
215	2087	7575
216	2097	7567
217	2106	7557
218	2116	7548
219	2128	7547
220	2140	7545
221	2150	7536
222	2158	7521
223	2170	7518
224	2176	7497
225	2184	7482
226	2194	7474
227	2205	7466
228	2215	7457
229	2224	7446
230	2232	7433
231	2243	7425
232	2251	7411
233	2258	7393
234	2265	7373
235	2274	7363
236	2283	7352
237	2290	7334
238	2301	7328
239	2310	7316
240	2318	7300
241	2328	7294
242	2338	7285
243	2347	7273
244	2354	7257
245	2364	7245
246	2374	7240
247	2385	7232
248	2392	7214
249	2401	7203
250	2410	7193
251	2419	7181
252	2426	7163
253	2434	7151
254	2444	7141
255	2452	7127
256	2462	7118
257	2471	7107
258	2480	7095
259	2490	7087
260	2499	7076
261	2506	7060
262	2515	7049
263	2524	7037
264	2532	7024
265	2543	7017
266	2551	7005
267	2564	7004
268	2575	6998
269	2585	6990
270	2596	6984
271	2605	6974
272	2615	6964
273	2624	6954
274	2635	6949
275	2646	6942
276	2654	6928
277	2665	6923
278	2673	6909
279	2684	6902
280	2694	6895
281	2703	6883
282	2713	6875
283	2724	6867
284	2732	6854
285	2738	6835
286	2746	6822
287	2755	6811
288	2765	6802
289	2774	6793
290	2783	6781
291	2792	6771
292	2802	6762
293	2810	6748
294	2817	6734
295	2826	6722
296	2836	6713
297	2844	6699
298	2852	6686
299	2863	6681
300	2872	6670
301	2882	6663
302	2891	6651
303	2899	6639
304	2908	6627
305	2919	6620
306	2927	6608
307	2939	6604
308	2949	6595
309	2959	6588
310	2971	6583
311	2986	6585
312	2995	6574
313	3003	6562
314	3013	6552
315	3024	6545
316	3034	6537
317	3043	6526
318	3050	6513
319	3059	6501
320	3071	6497
321	3082	6489
322	3090	6477
323	3099	6466
324	3107	6454
325	3115	6441
326	3127	6436
327	3135	6422
328	3145	6415
329	3152	6400
330	3161	6389
331	3171	6380
332	3177	6365
333	3187	6355
334	3194	6340
335	3203	6331
336	3212	6319
337	3221	6308
338	3229	6297
339	3238	6286
340	3248	6277
341	3256	6265
342	3267	6258
343	3279	6253
344	3286	6240
345	3296	6230
346	3304	6218
347	3312	6207
348	3320	6194
349	3329	6182
350	3337	6171
351	3352	6170
352	3363	6164
353	3378	6165
354	3403	6184
355	3422	6191
356	3440	6196
357	3452	6191
358	3465	6187
359	3477	6183
360	3490	6177
361	3501	6171
362	3510	6160
363	3521	6152
364	3530	6142
365	3542	6136
366	3551	6125
367	3563	6119
368	3573	6110
369	3582	6100
370	3593	6091
371	3606	6088
372	3614	6076
373	3624	6066
374	3634	6058
375	3645	6050
376	3655	6041
377	3666	6032
378	3679	6028
379	3688	6018
380	3696	6005
381	3703	5992
382	3714	5984
383	3723	5973
384	3735	5967
385	3743	5954
386	3752	5943
387	3761	5932
388	3768	5919
389	3777	5908
390	3787	5899
391	3798	5891
392	3808	5882
393	3815	5868
394	3822	5855
395	3834	5847
396	3843	5838
397	3854	5829
398	3865	5821
399	3875	5813
400	3883	5801
401	3892	5789
402	3901	5779
403	3909	5767
404	3917	5754
405	3926	5745
406	3938	5738
407	3947	5727
408	3954	5714
409	3961	5700
410	3971	5692
411	3982	5683
412	3993	5676
413	4001	5664
414	4010	5653
415	4019	5642
416	4029	5633
417	4037	5622
418	4049	5615
419	4059	5605
420	4067	5594
421	4075	5582
422	4085	5573
423	4093	5560
424	4101	5549
425	4110	5538
426	4119	5527
427	4128	5516
428	4135	5503
429	4142	5491
430	4160	5492
431	4175	5490
432	4187	5483
433	4200	5477
434	4211	5470
435	4220	5459
436	4229	5449
437	4242	5443
438	4253	5435
439	4263	5426
440	4275	5419
441	4286	5411
442	4295	5401
443	4304	5390
444	4313	5379
445	4322	5369
446	4329	5356
447	4339	5347
448	4350	5338
449	4359	5328
450	4369	5319
451	4379	5309
452	4388	5299
453	4397	5288
454	4405	5277
455	4414	5266
456	4424	5257
457	4434	5247
458	4445	5239
459	4452	5226
460	4462	5217
461	4470	5205
462	4479	5195
463	4488	5185
464	4496	5172
465	4506	5163
466	4515	5153
467	4524	5142
468	4534	5134
469	4544	5125
470	4553	5114
471	4563	5104
472	4573	5096
473	4584	5087
474	4594	5077
475	4602	5066
476	4610	5054
477	4617	5042
478	4626	5032
479	4637	5023
480	4645	5012
481	4655	5002
482	4665	4993
483	4675	4985
484	4685	4974
